TV,Radio,Newspaper,Sales
0.7757862698681096,0.7620967741935483,0.0,22.1
0.14812309773419008,0.7923387096774193,0.0,10.4
0.05579979709164694,0.9254032258064515,0.0,9.3
0.5099763273588097,0.8326612903225805,0.0,18.5
0.6090632397700373,0.21774193548387097,0.0,12.9
0.02705444707473791,0.9858870967741935,0.0,7.2
0.19208657423063918,0.6612903225806451,0.0,11.8
0.40412580317889757,0.3951612903225807,0.0,13.2
0.026716266486303687,0.04233870967741936,0.0,4.8
0.6733175515725399,0.05241935483870968,0.0,10.6
0.22117010483598243,0.11693548387096774,0.0,8.6
0.7237064592492392,0.4838709677419355,0.0,17.4
0.07811971592830573,0.7076612903225806,0.0,9.2
0.3273588096043287,0.15322580645161288,0.0,9.7
0.6878593168752114,0.6633064516129031,0.0,19.0
0.658437605681434,0.9616935483870968,0.0,22.4
0.22691917483936425,0.7379032258064516,0.0,12.5
0.9492729117348665,0.7983870967741935,0.0,24.4
0.2316537030774434,0.4133064516129032,0.0,11.3
0.4957727426445723,0.4818548387096774,0.0,14.6
0.7362191410213055,0.5584677419354839,0.0,18.0
0.800473452823808,0.10282258064516128,0.0,12.5
0.04227257355427799,0.32056451612903225,0.0,5.6
0.7696990192762937,0.3407258064516129,0.0,15.5
0.20831924247548192,0.2540322580645161,0.0,9.7
0.8867095028745351,0.07056451612903225,0.0,12.0
0.4808927967534664,0.5907258064516129,0.0,15.0
0.8096043287115321,0.33669354838709675,0.0,15.9
0.8390260399053096,0.5463709677419355,0.0,18.9
0.2363882313155225,0.3225806451612903,0.0,10.5
0.9881636794048022,0.5705645161290323,0.0,21.4
0.37943862022319924,0.3508064516129032,0.0,11.9
0.32634426783902604,0.03024193548387097,0.0,9.6
0.8958403787622592,0.4032258064516129,0.0,17.4
0.3212715590125127,0.0282258064516129,0.0,9.5
0.9807237064592493,0.08266129032258064,0.0,12.8
0.900236726411904,0.8830645161290321,0.0,25.4
0.2502536354413257,0.9959677419354838,0.0,14.7
0.14338856949611095,0.5383064516129032,0.0,10.1
0.768684477510991,0.7600806451612904,0.0,21.5
0.6824484274602639,0.4495967741935484,0.0,16.6
0.5962123774095368,0.6733870967741935,0.0,17.1
0.990530943523842,0.5584677419354839,0.0,20.7
0.6973283733513698,0.16935483870967744,0.0,12.9
0.08251606357795065,0.5181451612903225,0.0,8.5
0.5897869462292865,0.4536290322580645,0.0,14.9
0.3009807237064593,0.19959677419354838,0.0,10.6
0.8089279675346637,0.8366935483870968,0.0,23.2
0.7659790328035171,0.3185483870967742,0.0,14.8
0.22387554954345626,0.23588709677419353,0.0,9.7
0.6733175515725399,0.0625,0.0,11.4
0.33716604666892125,0.1935483870967742,0.0,10.7
0.729455529252621,0.840725806451613,0.0,22.6
0.6151504903618533,0.9314516129032259,0.0,21.2
0.8860331416976667,0.5806451612903226,0.0,20.2
0.6702739262766318,0.9959677419354838,0.0,23.7
0.022319918836658778,0.5665322580645161,0.0,5.5
0.45823469732837335,0.3870967741935484,0.0,13.2
0.7105174163003045,1.0,0.0,23.8
0.7101792357118702,0.594758064516129,0.0,18.4
0.17855935069327022,0.04032258064516129,0.0,8.1
0.8812986134595876,0.8608870967741936,0.0,24.2
0.8068988840040583,0.3125,0.0,15.7
0.3449442002029084,0.5967741935483871,0.0,14.0
0.44098748731822796,0.8629032258064515,0.0,18.0
0.23097734190057492,0.1875,0.0,9.3
0.10415962123774097,0.4959677419354839,0.0,9.5
0.46871829556983435,0.2923387096774194,0.0,13.4
0.800473452823808,0.5544354838709677,0.0,18.9
0.730808251606358,0.8850806451612903,0.0,22.3
0.6709502874535003,0.6169354838709677,0.0,18.3
0.36895502198173824,0.28830645161290325,0.0,12.4
0.08826513358133245,0.6653225806451613,0.0,8.8
0.43523841731484614,0.11491935483870967,0.0,11.0
0.7193101115995943,0.4959677419354839,0.0,17.0
0.05478525532634426,0.8810483870967742,0.0,8.7
0.09063239770037201,0.03225806451612903,0.0,6.9
0.4051403449442002,0.5745967741935484,0.0,14.2
0.015894487656408524,0.6028225806451613,0.0,5.3
0.38992221846466013,0.15524193548387097,0.0,11.0
0.2560027054447075,0.5383064516129032,0.0,11.8
0.8085897869462294,0.08266129032258064,0.0,12.3
0.252282718971931,0.4092741935483871,0.0,11.3
0.2289482583699696,0.8971774193548386,0.0,13.6
0.7196482921880285,0.8669354838709677,0.0,21.7
0.650997632735881,0.3709677419354838,0.0,15.2
0.2556645248562732,0.5544354838709677,0.0,12.0
0.3719986472776463,0.8185483870967742,0.0,16.0
0.2962461954683801,0.5141129032258064,0.0,12.9
0.36895502198173824,0.9637096774193548,0.0,16.7
0.45180926614812317,0.09879032258064517,0.0,11.2
0.09435238417314848,0.03024193548387097,0.0,7.3
0.7338518769022658,0.6754032258064516,0.0,19.4
0.8461278322624283,0.7358870967741935,0.0,22.2
0.3608386878593169,0.282258064516129,0.0,11.5
0.5498816367940481,0.6370967741935484,0.0,16.9
0.6658775786269869,0.07056451612903225,0.0,11.7
0.6229286438958405,0.42338709677419356,0.0,15.5
0.9773419005749071,0.8528225806451613,0.0,25.4
0.45485289144403107,0.840725806451613,0.0,17.2
0.7497463645586745,0.08669354838709677,0.0,11.7
1.0,0.7318548387096774,0.0,23.8
0.9452147446736558,0.2036290322580645,0.0,14.8
0.6330740615488673,0.34677419354838707,0.0,14.7
0.8031788975312818,0.691532258064516,0.0,20.7
0.46398376733175517,0.9354838709677419,0.0,19.2
0.08217788298951641,0.2217741935483871,0.0,7.2
0.3033479878254988,0.006048387096774193,0.0,8.7
0.04193439296584377,0.008064516129032258,0.0,5.3
0.8613459587419684,0.5423387096774193,0.0,19.8
0.7612445045654381,0.16532258064516128,0.0,13.4
0.8150152181264796,0.7661290322580645,0.0,21.8
0.5918160297598918,0.31048387096774194,0.0,14.1
0.7064592492390938,0.4153225806451613,0.0,15.9
0.2620899560365235,0.9435483870967741,0.0,14.6
0.2516063577950625,0.7056451612903225,0.0,12.6
0.46838011498140003,0.28830645161290325,0.0,12.2
0.2560027054447075,0.016129032258064516,0.0,9.4
0.42272573554277987,0.7439516129032258,0.0,15.9
0.06323977003719987,0.3225806451612903,0.0,6.6
0.4754819073385188,0.5403225806451613,0.0,15.5
0.06121068650659453,0.4375,0.0,7.0
0.755157253973622,0.04838709677419355,0.0,11.6
0.41393304024349004,0.6975806451612904,0.0,15.2
0.7737571863375043,0.6512096774193548,0.0,19.7
0.29252620899560366,0.23790322580645162,0.0,10.6
0.024010821778829898,0.784274193548387,0.0,6.6
0.26885356780520797,0.0,0.0,8.8
0.7426445722015558,0.9879032258064516,0.0,24.7
0.1991883665877579,0.24193548387096775,0.0,9.7
0.0,0.7983870967741935,0.0,1.6
0.8944876564085222,0.05846774193548387,0.0,12.7
